,created_at,favorite_count,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,full_text,cleaned_text,stemmed_text,tokenized_text
0,Thu Mar 13 23:31:50 +0000 2025,0,,in,Papua Barat,0,1,0,Danantara Indonesia berkomitmen untuk mendorong transformasi ekonomi dengan pendekatan profesional dan menerapkan good governance. Danantara Indonesia berkomitmen untuk meningkatkan efisiensi aset menarik investasi global dan memperkuat daya saing Indonesia di sektor strategis https://t.co/pFWGH168LN,danantara indonesia berkomitmen mendorong transformasi ekonomi pendekatan profesional menerapkan good governance danantara indonesia berkomitmen meningkatkan efisiensi aset menarik investasi global memperkuat daya saing indonesia sektor strategis,danantara indonesia komitmen dorong transformasi ekonomi dekat profesional terap good governance danantara indonesia komitmen tingkat efisiensi aset tarik investasi global kuat daya saing indonesia sektor strategis,"['danantara', 'indonesia', 'komitmen', 'dorong', 'transformasi', 'ekonomi', 'dekat', 'profesional', 'terap', 'good', 'governance', 'danantara', 'indonesia', 'komitmen', 'tingkat', 'efisiensi', 'aset', 'tarik', 'investasi', 'global', 'kuat', 'daya', 'saing', 'indonesia', 'sektor', 'strategis']"
1,Thu Mar 13 23:31:20 +0000 2025,0,Mdy_Asmara1701,in,,0,0,0,@Mdy_Asmara1701 Kalau bs efisiensi Logikanya anggaran surplus,bs efisiensi logikanya anggaran surplus,bs efisiensi logika anggar surplus,"['bs', 'efisiensi', 'logika', 'anggar', 'surplus']"
2,Thu Mar 13 23:29:40 +0000 2025,0,CNNIndonesia,in,,0,0,0,@CNNIndonesia Apa sih buk! Noh efisiensi tapi pejabat asik asik,sih buk noh efisiensi pejabat asik asik,sih buk noh efisiensi jabat asik asik,"['sih', 'buk', 'noh', 'efisiensi', 'jabat', 'asik', 'asik']"
3,Thu Mar 13 23:27:17 +0000 2025,0,Mdy_Asmara1701,in,,0,0,0,@Mdy_Asmara1701 Efisiensi cuma lari ke danantaro sama makan tidak bergizi gratis kok.. bikin sengsara rakyat konoha doang ini mah.,efisiensi lari danantaro makan bergizi gratis bikin sengsara rakyat konoha doang mah,efisiensi lari danantaro makan gizi gratis bikin sengsara rakyat konoha doang mah,"['efisiensi', 'lari', 'danantaro', 'makan', 'gizi', 'gratis', 'bikin', 'sengsara', 'rakyat', 'konoha', 'doang', 'mah']"
4,Thu Mar 13 23:22:25 +0000 2025,0,geloraco,in,,0,0,0,@geloraco Kiw kiwww hiburan baru buat dana baru efisiensi diperpanjang,kiw kiwww hiburan dana efisiensi diperpanjang,kiw kiwww hibur dana efisiensi panjang,"['kiw', 'kiwww', 'hibur', 'dana', 'efisiensi', 'panjang']"
5,Thu Mar 13 23:21:18 +0000 2025,0,Mdy_Asmara1701,in,,0,0,0,@Mdy_Asmara1701 Efisiensi buat stafsus,efisiensi stafsus,efisiensi stafsus,"['efisiensi', 'stafsus']"
6,Thu Mar 13 23:19:04 +0000 2025,1,tanyakanrl,in,,0,0,0,@tanyakanrl 2025: Coretax Danantara Mega korupsi(PLN Pertamina BJB) KaburAjaDulu IndonesiaGelap Grooming &amp; Pedofil CPNS Dwifungsi Abri PHK Masal MBG Efisiensi Anggaran Banjir dll Satt baru jg maret dah banyak amat masalahnya,coretax danantara mega korupsipln pertamina bjb kaburajadulu indonesiagelap grooming amp pedofil cpns dwifungsi abri phk masal mbg efisiensi anggaran banjir dll satt jg maret dah,coretax danantara mega korupsipln pertamina bjb kaburajadulu indonesiagelap grooming amp pedofil cpns dwifungsi abri phk masal mbg efisiensi anggar banjir dll satt jg maret dah,"['coretax', 'danantara', 'mega', 'korupsipln', 'pertamina', 'bjb', 'kaburajadulu', 'indonesiagelap', 'grooming', 'amp', 'pedofil', 'cpns', 'dwifungsi', 'abri', 'phk', 'masal', 'mbg', 'efisiensi', 'anggar', 'banjir', 'dll', 'satt', 'jg', 'maret', 'dah']"
7,Thu Mar 13 23:18:39 +0000 2025,0,,in,,0,0,0,hari ini dapet info kalo dana BOS dipotong 50% karena apa? sudah jelas krn efisiensi anggaran. sebenernya presiden kita itu lg mau memperjuangkan siapa sih? jelas banget kebijakan makan bergizi gratisnya ini sangat ga pro rakyat kecil,dapet info kalo dana bos dipotong krn efisiensi anggaran sebenernya presiden lg memperjuangkan sih banget kebijakan makan bergizi gratisnya ga pro rakyat,dapet info kalo dana bos potong krn efisiensi anggar sebenernya presiden lg juang sih banget bijak makan gizi gratis ga pro rakyat,"['dapet', 'info', 'kalo', 'dana', 'bos', 'potong', 'krn', 'efisiensi', 'anggar', 'sebenernya', 'presiden', 'lg', 'juang', 'sih', 'banget', 'bijak', 'makan', 'gizi', 'gratis', 'ga', 'pro', 'rakyat']"
8,Thu Mar 13 23:18:11 +0000 2025,0,,in,,0,0,0,Itu bukan solusi. Solusi &amp; efek jera untuk para koruptor yang paling paten itu: miskinkan (rampas semua aset hasil korup) hukuman cukup 5 tahun di lapas umum--ini efektif dan efisiensi. Dengan catatan justice system berintegritas.,solusi solusi amp efek jera koruptor paten miskinkan rampas aset hasil korup hukuman lapas umumini efektif efisiensi catatan justice system berintegritas,solusi solusi amp efek jera koruptor paten miskin rampas aset hasil korup hukum lapas umumini efektif efisiensi catat justice system integritas,"['solusi', 'solusi', 'amp', 'efek', 'jera', 'koruptor', 'paten', 'miskin', 'rampas', 'aset', 'hasil', 'korup', 'hukum', 'lapas', 'umumini', 'efektif', 'efisiensi', 'catat', 'justice', 'system', 'integritas']"
9,Thu Mar 13 23:17:31 +0000 2025,0,zainalamochtar,in,"Bandung, Indonesia",0,0,0,@zainalamochtar Adanya jabatan wakil menteri pun sudah tidak mencerminkan efisiensi. Sejak orba sampe era reformasi gak ada yg namanya jabatan wakil menteri. Cuma sejak era mulyono aja sekedar utk bagi2 jabatan!,jabatan wakil menteri mencerminkan efisiensi orba sampe era reformasi gak yg namanya jabatan wakil menteri era mulyono aja sekedar utk jabatan,jabat wakil menteri cermin efisiensi orba sampe era reformasi gak yg nama jabat wakil menteri era mulyono aja dar utk jabat,"['jabat', 'wakil', 'menteri', 'cermin', 'efisiensi', 'orba', 'sampe', 'era', 'reformasi', 'gak', 'yg', 'nama', 'jabat', 'wakil', 'menteri', 'era', 'mulyono', 'aja', 'dar', 'utk', 'jabat']"
10,Thu Mar 13 23:15:05 +0000 2025,0,kompascom,in,"İstanbul, Türkiye",0,0,0,@kompascom Katanya efisiensi... eh malah mau bangun penjara.. lebih bagus bangun sekolah negeri. Pemerintahan prabowo kacau..,efisiensi eh bangun penjara bagus bangun sekolah negeri pemerintahan prabowo kacau,efisiensi eh bangun penjara bagus bangun sekolah negeri perintah prabowo kacau,"['efisiensi', 'eh', 'bangun', 'penjara', 'bagus', 'bangun', 'sekolah', 'negeri', 'perintah', 'prabowo', 'kacau']"
